"docsName","ClassName","None","slf4j-api-1.6.1.jar","walker.jar","jsr311-api-1.1.1.jar","wink-common-1.2.1-incubating.jar","commons-math3-3.0.jar","selenium-server-standalone-2.41.0.jar","wink-client-1.2.1-incubating.jar","xmlbeans-2.4.0.jar","poi-3.7-20101029-mod.jar","poi-ooxml-3.7-20101029.jar","servlet-api.jar","jsch-0.1.51.jar","commons-io-2.1.jar","commons-codec-1.7.jar","wink-1.2.1-incubating.jar","db2jcc.jar","tomcat-dbcp.jar","commons-httpclient-3.1.jar","solr-solrj-4.4.0.jar","solr-core-4.4.0.jar","lucene-core-4.4.0.jar","carrot2-mini-3.6.2.jar","guava-14.0.1.jar","commons-lang-2.6.jar","lucene-analyzers-common-4.4.0.jar","org.eclipse.jdt.core_3.9.1.v20130905-0837.jar","mail.jar","json-simple-1.1.1.jar"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/Auth.java","Auth.java","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5350567286626973","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/AttachmentsViewResource.java","AttachmentsViewResource.java","0.0","0.3822933307366155","0.0","0.959742250006078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/AbstractResource.java","AbstractResource.java","0.0","0.0","0.0","0.29706307738283366","0.2765143579219922","0.0","0.0","0.0","0.0","0.0","0.0","0.32894072757057796","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/AbstractAdminResource.java","AbstractAdminResource.java","0.6931471805599453","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/UserInterfaceResource.java","UserInterfaceResource.java","0.0","0.0","0.0","0.891189232148501","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.16447036378528898","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/AccessControlResource.java","AccessControlResource.java","0.0","0.0","0.0","0.733920544122295","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.13544618194082622","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/SubResource.java","SubResource.java","0.0","0.0","0.0","2.0794415416798357","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/AggregationService.java","AggregationService.java","0.0","0.08147234917337706","0.0","0.2727136448104703","0.0","0.0","0.0","0.19038693496268316","0.0","0.0","0.0","0.07549459321291954","0.37134167082858666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/AccountsResource.java","AccountsResource.java","0.0","0.0","0.0","0.6931471805599452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.09594104554141858","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"/Users/shreya/git/digdeep/digdeep-web-common/src/com/ibm/research/digdeep/web/resources/AbstractViewResource.java","AbstractViewResource.java","0.6931471805599453","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
